Country,2019
Afghanistan,2.01
Albania,-6.595
Algeria,-12.557
Angola,0.925
Antigua and Barbuda,-6.055
Argentina,-1.203
Armenia,-7.402
Aruba,-1.785
Australia,-0.253
Austria,1.646
Azerbaijan,9.711
The Bahamas,-7.371
Bahrain,-4.337
Bangladesh,-2.023
Barbados,-3.918
Belarus,-0.86
Belgium,-1.093
Belize,-7.041
Benin,-6.104
Bhutan,-12.48
Bolivia,-4.969
Bosnia and Herzegovina,-4.838
Botswana,-2.964
Brazil,-1.208
Brunei Darussalam,8.508
Bulgaria,3.175
Burkina Faso,-5.747
Burundi,-12.611
Cabo Verde,-4.359
Cambodia,-12.473
Cameroon,-3.667
Canada,-1.876
Central African Republic,-4.125
Chad,-6.361
Chile,-3.457
China,1.045
Colombia,-4.233
Comoros,-7.983
Democratic Republic of the Congo,-3.445
Republic of Congo,6.801
Costa Rica,-2.384
Côte d'Ivoire,-3.799
Croatia,1.712
Cyprus,-7.841
Czech Republic,-0.083
Denmark,5.545
Djibouti,-0.264
Dominica,-33.647
Dominican Republic,-1.262
Ecuador,0.088
Egypt,-3.077
El Salvador,-4.945
Equatorial Guinea,-5.926
Eritrea,11.265
Estonia,0.73
Eswatini,2.523
Ethiopia,-6.046
Fiji,-7.3
Finland,-0.672
France,-0.508
Gabon,0.129
The Gambia,-9.386
Georgia,-5.892
Germany,6.967
Ghana,-3.567
Greece,-3.007
Grenada,-11.312
Guatemala,0.581
Guinea,-20.709
Guinea-Bissau,-4.207
Guyana,-22.707
Haiti,-3.313
Honduras,-4.212
Hong Kong SAR,5.547
Hungary,-0.937
Iceland,3.148
India,-1.969
Indonesia,-2.856
Islamic Republic of Iran,-2.676
Iraq,-3.469
Ireland,10.796
Israel,2.351
Italy,2.868
Jamaica,-2.476
Japan,3.339
Jordan,-7.028
Kazakhstan,-1.233
Kenya,-4.657
Kiribati,13.161
Korea,3.24
Kosovo,-6.544
Kuwait,8.219
Kyrgyz Republic,-10.025
Lao P.D.R.,-12.08
Latvia,-1.832
Lebanon,-26.384
Lesotho,-14.636
Liberia,-21.2
Libya,-0.292
Lithuania,1.149
Luxembourg,4.491
Macao SAR,35.723
Madagascar,-1.612
Malawi,-14.254
Malaysia,3.133
Maldives,-20.424
Mali,-5.506
Malta,7.635
Marshall Islands,4.117
Mauritania,-13.679
Mauritius,-7.2
Mexico,-1.18
Micronesia,15.665
Moldova,-9.097
Mongolia,-14.393
Montenegro,-17.063
Morocco,-4.45
Mozambique,-57.96
Myanmar,-4.769
Namibia,-4.076
Nauru,3.582
Nepal,-8.307
Netherlands,9.849
New Zealand,-4.106
Nicaragua,2.303
Niger,-20.033
Nigeria,-0.224
North Macedonia,-0.651
Norway,6.875
Oman,-7.173
Pakistan,-4.608
Palau,-25.446
Panama,-6.1
Papua New Guinea,22.977
Paraguay,-0.125
Peru,-1.93
Philippines,-1.984
Poland,-0.858
Portugal,-0.592
Puerto Rico,
Qatar,6.005
Romania,-5.537
Russia,5.733
Rwanda,-9.168
Samoa,-0.564
San Marino,0.382
São Tomé and Príncipe,-11.514
Saudi Arabia,4.391
Senegal,-8.518
Serbia,-5.802
Seychelles,-16.66
Sierra Leone,-12.317
Singapore,16.546
Slovak Republic,-2.515
Slovenia,4.16
Solomon Islands,-7.122
Somalia,-8.004
South Africa,-3.132
South Sudan,2.272
Spain,0.918
Sri Lanka,-2.636
St. Kitts and Nevis,-6.322
St. Lucia,2.479
St. Vincent and the Grenadines,-11.598
Sudan,-7.413
Suriname,-5.74
Sweden,2.868
Switzerland,9.561
Syria,n/a
Taiwan Province of China,11.436
Tajikistan,-5.799
Tanzania,-4.051
Thailand,6.013
Timor-Leste,1.12
Togo,-6.281
Tonga,-10.96
Trinidad and Tobago,2.36
Tunisia,-10.437
Turkey,-0.59
Turkmenistan,-0.599
Tuvalu,29.867
Uganda,-11.493
Ukraine,-2.816
United Arab Emirates,9.017
United Kingdom,-3.452
United States,-2.516
Uruguay,-1.662
Uzbekistan,-6.489
Vanuatu,6.073
Venezuela,7.007
Vietnam,2.188
Yemen,-4.024
Zambia,-3.554
Zimbabwe,-0.541
,
"International Monetary Fund, World Economic Outlook Database, October 2019",
